date,export
2016-07-01,15.739
2016-08-01,26.768
2016-09-01,16.764
2016-10-01,3.0
2016-11-01,32.976
2016-12-01,41.825
2017-01-01,51.342
2017-02-01,52.042
2017-03-01,43.553
2017-04-01,50.669
2017-05-01,60.782
2017-06-01,52.462
2017-07-01,53.592
2017-08-01,45.468
2017-09-01,54.733
2017-10-01,80.195
2017-11-01,80.1
2017-12-01,82.604
2018-01-01,72.463
2018-02-01,73.684
2018-03-01,91.542
2018-04-01,85.684
2018-05-01,94.797
2018-06-01,73.535
2018-07-01,98.24
2018-08-01,91.526
2018-09-01,81.381
2018-10-01,89.886
2018-11-01,107.585
2018-12-01,122.795
2019-01-01,126.957
2019-02-01,102.866
2019-03-01,130.814
2019-04-01,127.102
2019-05-01,144.913
2019-06-01,141.956
2019-07-01,156.865
2019-08-01,138.578
2019-09-01,160.274
2019-10-01,177.966
2019-11-01,190.61
2019-12-01,220.646
2020-01-01,250.305
2020-02-01,225.786
2020-03-01,244.269
2020-04-01,210.466
2020-05-01,182.438
2020-06-01,109.002
2020-07-01,96.2
2020-08-01,112.462
2020-09-01,151.128
2020-10-01,222.963
2020-11-01,280.682
2020-12-01,304.263
2021-01-01,305.196
2021-02-01,208.394
2021-03-01,321.023
2021-04-01,306.818
2021-05-01,314.922
2021-06-01,271.368
2021-07-01,300.143
2021-08-01,298.262
2021-09-01,284.813
2021-10-01,298.119
2021-11-01,306.397
2021-12-01,345.363
2022-01-01,353.791
2022-02-01,316.766
2022-03-01,364.116
2022-04-01,330.463
2022-05-01,351.448
2022-06-01,300.659
2022-07-01,300.415
2022-08-01,300.215
2022-09-01,295.379
2022-10-01,309.823
2022-11-01,302.608
2022-12-01,339.96
2023-01-01,337.155
2023-02-01,326.275
2023-03-01,366.552
2023-04-01,375.843
2023-05-01,366.774
2023-06-01,327.872
2023-07-01,349.292
2023-08-01,353.059
2023-09-01,346.604
2023-10-01,384.403
2023-11-01,386.262
2023-12-01,422.935
2024-01-01,396.26
2024-02-01,359.563
2024-03-01,369.898
2024-04-01,303.776
2024-05-01,367.723
2024-06-01,356.423
2024-07-01,323.873
2024-08-01,363.574
2024-09-01,363.03
2024-10-01,376.2
2024-11-01,376.065
2024-12-01,410.786
2025-01-01,414.951
2025-02-01,409.232
2025-03-01,457.66
2025-04-01,448.242
2025-05-01,435.298
2025-06-01,406.036
2025-07-01,436.84
2025-08-01,451.139
2025-09-01,451.755
2025-10-01,503.475
2025-11-01,525.089
2025-12-01,569.267
2026-01-01,539.203
2026-02-01,493.617
2026-03-01,573.479
2026-04-01,537.936
